Executing COFGA_resnet152_dropOut_weightDecay_batchNorm_200epochs
Total number of images:  11617
Number of train images:  8132
Number of validation images:  3485

Dataloader completed
USING CUDA!
Network constructed
[139], Train loss: 2.708, Val loss: 7.599, Train mAP: 67.755 %, Val mAP: 49.742 %
[140], Train loss: 2.659, Val loss: 4.576, Train mAP: 72.647 %, Val mAP: 53.984 %
[141], Train loss: 2.694, Val loss: 4.433, Train mAP: 69.599 %, Val mAP: 51.789 %
[142], Train loss: 2.686, Val loss: 7.938, Train mAP: 72.263 %, Val mAP: 45.589 %
[143], Train loss: 2.646, Val loss: 4.386, Train mAP: 67.941 %, Val mAP: 58.567 %
[144], Train loss: 2.625, Val loss: 8.120, Train mAP: 68.656 %, Val mAP: 51.183 %
[145], Train loss: 2.622, Val loss: 7.424, Train mAP: 70.056 %, Val mAP: 50.362 %
[146], Train loss: 2.592, Val loss: 4.537, Train mAP: 69.041 %, Val mAP: 51.580 %
[147], Train loss: 2.606, Val loss: 4.828, Train mAP: 71.592 %, Val mAP: 47.706 %
[148], Train loss: 2.573, Val loss: 4.477, Train mAP: 67.470 %, Val mAP: 51.908 %
[149], Train loss: 2.532, Val loss: 4.607, Train mAP: 72.001 %, Val mAP: 53.918 %
[150], Train loss: 2.580, Val loss: 4.522, Train mAP: 68.853 %, Val mAP: 56.783 %
[151], Train loss: 2.610, Val loss: 7.315, Train mAP: 68.280 %, Val mAP: 52.444 %
[152], Train loss: 2.532, Val loss: 4.787, Train mAP: 69.521 %, Val mAP: 56.087 %
[153], Train loss: 2.530, Val loss: 6.790, Train mAP: 67.868 %, Val mAP: 57.895 %
[154], Train loss: 2.553, Val loss: 9.782, Train mAP: 69.202 %, Val mAP: 54.988 %
[155], Train loss: 2.543, Val loss: 11.712, Train mAP: 69.267 %, Val mAP: 44.738 %
[156], Train loss: 2.438, Val loss: 4.781, Train mAP: 70.089 %, Val mAP: 51.916 %
[157], Train loss: 2.481, Val loss: 4.840, Train mAP: 71.983 %, Val mAP: 52.415 %
[158], Train loss: 2.427, Val loss: 4.730, Train mAP: 73.577 %, Val mAP: 49.855 %
[159], Train loss: 2.503, Val loss: 4.572, Train mAP: 70.251 %, Val mAP: 56.136 %
[160], Train loss: 2.450, Val loss: 5.793, Train mAP: 71.359 %, Val mAP: 52.917 %
[161], Train loss: 2.455, Val loss: 8.972, Train mAP: 70.149 %, Val mAP: 49.854 %
[162], Train loss: 2.408, Val loss: 6.193, Train mAP: 72.688 %, Val mAP: 51.930 %
[163], Train loss: 2.378, Val loss: 4.997, Train mAP: 74.332 %, Val mAP: 55.876 %
